grid_id,building_count,mean_score,high_potential_ratio,high_potential_building_count,total_footprint_area_m2,mean_height_proxy_m,building_density_per_km2,footprint_density_m2_per_km2
157,1,67.96159367483841,1.0,1,44033.05516370807,9.0,4.0,176132.2206548323
803,1,47.77287012616962,1.0,1,1312.5907919863632,9.0,4.0,5250.363167945453
1138,2,52.43141696000542,1.0,2,5915.217067226597,9.0,8.0,23660.868268906386
1124,5,54.122193061061104,1.0,5,49320.42207358261,9.2,20.0,197281.68829433044
1123,3,59.38429485759573,1.0,3,15246.890917118806,30.0,12.0,60987.563668475224
1114,8,52.5541009385657,1.0,8,29285.10999431399,9.0,32.0,117140.43997725596
1110,7,49.3353580142962,1.0,7,19902.790490701933,9.0,28.0,79611.16196280773
1099,7,47.88467942464376,1.0,7,9397.712353721508,9.0,28.0,37590.84941488603
1098,2,62.284534168475076,1.0,2,20358.304596177964,14.5,8.0,81433.21838471186
1074,4,54.82131306174791,1.0,4,18906.24829775934,9.0,16.0,75624.99319103736
1009,1,48.17350631080832,1.0,1,1935.433005948448,10.0,4.0,7741.732023793792
1001,2,54.970435235543086,1.0,2,12791.31979374805,9.0,8.0,51165.2791749922
1000,4,50.76772599065514,1.0,4,9342.846269332935,9.0,16.0,37371.38507733174
974,4,63.83481828424078,1.0,4,13724.58009064055,24.0,16.0,54898.3203625622
957,1,45.72718124960905,1.0,1,919.2401019781641,9.0,4.0,3676.9604079126566
932,5,61.50279208629786,1.0,5,4066.2759334884468,100.0,20.0,16265.103733953787
931,2,64.23228789443141,1.0,2,2436.277613132581,100.0,8.0,9745.110452530324
927,4,57.67031826203387,1.0,4,3285.616482558536,66.0,16.0,13142.465930234144
890,1,59.53624886771072,1.0,1,10166.74043360986,9.0,4.0,40666.96173443944
878,1,51.35232795905995,1.0,1,2447.502988250684,9.0,4.0,9790.011953002737
873,2,52.87072906528024,1.0,2,1319.4868737366655,33.0,8.0,5277.947494946662
842,1,47.04352070735993,1.0,1,1156.058185702305,9.0,4.0,4624.23274280922
836,2,56.87476797752298,1.0,2,7452.837469182143,9.75,8.0,29811.34987672857
1139,1,61.65662553745756,1.0,1,14702.689228630776,9.0,4.0,58810.7569145231
1141,4,57.08178247414712,1.0,4,24097.50835209497,9.75,16.0,96390.03340837988
